1024479720 3120 1 1 1
1048734000 10800 1 3 1
1048755600 10800 1 3 1
1048766400 10800 1 3 1
1048777200 10800 1 3 1
1048788000 10800 1 3 1
1048798800 10800 1 3 1
1048809600 10800 1 3 1
1048820400 10800 1 3 1
1049760000 10800 1 3 1
1049770800 10800 1 3 1
1049781600 10800 1 3 1
1049792400 10800 1 3 1
1049803200 10800 1 3 1
1049814000 10800 1 3 1
1049824800 10800 1 3 1
1049835600 10800 1 3 1
1049846400 10800 1 3 1
1053864000 10800 1 3 1
1053874800 1680 1 3 1
1055106000 4440 2 3 2
1055110440 6360 1 3 1
1064793600 1800 1 3 1
1203925800 203100 1 1 1
