%  f [Hz]          power [(mV/m)^2/Hz]   
   2.6093750e+00   1.3829825e-05
   2.6250000e+00   2.8918550e-05
   2.6406250e+00   3.3266561e-05
   2.6562500e+00   1.1327797e-05
   2.6718750e+00   3.2206301e-05
   2.6875000e+00   5.8534996e-05
   2.7031250e+00   1.7813323e-05
   2.7187500e+00   3.0957118e-05
   2.7343750e+00   1.5192180e-04
   2.7500000e+00   6.2066260e-05
   2.7656250e+00   7.4850885e-06
   2.7812500e+00   4.2388143e-05
   2.7968750e+00   4.8761183e-05
   2.8125000e+00   1.0070032e-05
   2.8281250e+00   3.2268791e-05
   2.8437500e+00   6.3287521e-05
   2.8593750e+00   1.5563320e-05
   2.8750000e+00   1.5521370e-05
   2.8906250e+00   2.9311218e-05
   2.9062500e+00   1.8858081e-05
   2.9218750e+00   1.3541350e-05
   2.9375000e+00   1.0120695e-04
   2.9531250e+00   9.0259124e-05
   2.9687500e+00   9.9968201e-06
   2.9843750e+00   8.9119749e-05
   3.0000000e+00   1.3283172e-04
   3.0156250e+00   1.5145870e-05
   3.0312500e+00   2.9430255e-05
   3.0468750e+00   9.8765931e-05
   3.0625000e+00   3.2027087e-05
   3.0781250e+00   1.0568750e-05
   3.0937500e+00   1.2429019e-05
   3.1093750e+00   7.4941065e-06
   3.1250000e+00   1.3432994e-05
   3.1406250e+00   1.5937120e-04
   3.1562500e+00   2.1423657e-04
   3.1718750e+00   2.0547107e-05
   3.1875000e+00   1.9770065e-05
   3.2031250e+00   6.7150927e-05
   3.2187500e+00   2.6143252e-05
   3.2343750e+00   1.5951367e-05
   3.2500000e+00   6.2715391e-05
   3.2656250e+00   4.4529177e-05
   3.2812500e+00   7.6054087e-06
   3.2968750e+00   5.5704788e-06
   3.3125000e+00   8.4988269e-06
   3.3281250e+00   7.2323496e-06
   3.3437500e+00   1.8691964e-05
   3.3593750e+00   2.9354002e-05
   3.3750000e+00   1.0791879e-05
   3.3906250e+00   1.3028245e-05
   3.4062500e+00   4.0397533e-05
   3.4218750e+00   2.1855167e-05
   3.4375000e+00   6.0033634e-06
   3.4531250e+00   2.3141419e-05
   3.4687500e+00   2.6304604e-05
   3.4843750e+00   6.8616876e-06
   3.5000000e+00   4.3093074e-05
   3.5156250e+00   9.5323352e-05
   3.5312500e+00   1.5416272e-05
   3.5468750e+00   8.0292875e-06
   3.5625000e+00   9.6288479e-06
   3.5781250e+00   5.1889222e-06
   3.5937500e+00   8.2876629e-06
   3.6093750e+00   9.8083633e-05
   3.6250000e+00   7.6964011e-05
   3.6406250e+00   7.2010347e-06
   3.6562500e+00   1.6912484e-05
   3.6718750e+00   2.6578091e-05
   3.6875000e+00   1.1152487e-05
   3.7031250e+00   5.0433895e-06
