2001-01-01T00:00:01.000Z 2001-01-01T04:14:52.000Z 4 0
2001-01-01T00:00:01.000Z 2001-01-01T04:14:53.000Z 3 0
2001-01-01T00:00:02.000Z 2001-01-01T04:14:53.000Z 1 0
2001-01-01T00:00:04.000Z 2001-01-01T04:14:51.000Z 2 0
2001-01-01T12:30:40.000Z 2001-01-01T15:22:55.000Z 2 0
2001-01-01T12:55:10.000Z 2001-01-01T15:32:59.000Z 4 0
2001-01-02T05:18:55.000Z 2001-01-02T06:38:56.000Z 1 0
2001-01-02T05:22:35.000Z 2001-01-02T06:42:47.000Z 3 0
2001-01-02T18:25:01.000Z 2001-01-02T23:59:54.000Z 2 0
2001-01-02T18:25:02.000Z 2001-01-02T23:59:56.000Z 3 0
2001-01-02T18:25:02.000Z 2001-01-02T23:59:56.000Z 4 0
2001-01-02T18:25:03.000Z 2001-01-02T23:59:57.000Z 1 0
2001-01-03T00:00:00.000Z 2001-01-03T14:24:53.000Z 2 0
2001-01-03T00:00:01.000Z 2001-01-03T14:24:54.000Z 3 0
2001-01-03T00:00:01.000Z 2001-01-03T14:24:54.000Z 4 0
2001-01-03T00:00:02.000Z 2001-01-03T14:24:55.000Z 1 0
2001-01-04T07:20:15.000Z 2001-01-04T09:34:28.000Z 1 0
2001-01-04T14:31:01.000Z 2001-01-04T15:43:50.000Z 2 0
2001-01-04T14:31:03.000Z 2001-01-04T15:43:52.000Z 3 0
2001-01-04T14:31:03.000Z 2001-01-04T15:43:52.000Z 4 0
2001-01-04T14:31:04.000Z 2001-01-04T15:43:53.000Z 1 0
2001-01-04T17:16:30.000Z 2001-01-04T17:56:15.000Z 2 0
2001-01-04T17:25:06.000Z 2001-01-04T18:04:42.000Z 3 0
2001-01-05T05:45:02.000Z 2001-01-05T23:59:57.000Z 2 0
2001-01-05T05:45:03.000Z 2001-01-05T09:54:56.000Z 4 0
2001-01-05T05:45:03.000Z 2001-01-05T23:59:59.000Z 3 0
2001-01-05T05:45:04.000Z 2001-01-05T23:59:55.000Z 1 0
2001-01-05T10:01:27.000Z 2001-01-05T23:59:59.000Z 4 0
2001-01-06T00:00:00.000Z 2001-01-06T01:44:51.000Z 1 0
2001-01-06T00:00:03.000Z 2001-01-06T01:44:53.000Z 2 0
2001-01-06T00:00:04.000Z 2001-01-06T01:44:50.000Z 3 0
2001-01-06T00:00:04.000Z 2001-01-06T01:44:50.000Z 4 0
2001-01-06T07:42:07.000Z 2001-01-06T10:16:46.000Z 2 0
2001-01-07T00:08:11.000Z 2001-01-07T03:22:15.000Z 3 0
2001-01-07T00:15:24.000Z 2001-01-07T01:39:02.000Z 4 0
2001-01-07T05:14:30.000Z 2001-01-07T23:59:55.000Z 1 0
