% event from 2007-01-30 00:00-01:20 Cluster-4 burst, Ey
%  f [Hz]          power [(mV/m)^2/Hz]   
   9.1728446e+00   1.3456919e-05
   9.2284376e+00   1.3388998e-05
   9.2840306e+00   1.3271216e-05
   9.3396236e+00   1.2187183e-05
   9.3952166e+00   1.1523825e-05
   9.4508096e+00   1.2108737e-05
   9.5064026e+00   1.2184602e-05
   9.5619956e+00   1.1205643e-05
   9.6175886e+00   1.0855211e-05
   9.6731816e+00   1.2471654e-05
   9.7287746e+00   3.6800750e-05
   9.7843676e+00   4.0893667e-05
   9.8399606e+00   1.4850776e-05
   9.8955536e+00   1.1993347e-05
   9.9511466e+00   1.3093989e-05
   1.0006740e+01   1.6036523e-05
   1.0062333e+01   1.3824246e-05
   1.0117926e+01   1.2172230e-05
   1.0173519e+01   1.6676035e-05
   1.0229112e+01   4.5461505e-05
   1.0284705e+01   2.9636573e-05
   1.0340298e+01   1.1441056e-05
   1.0395891e+01   1.1091552e-05
   1.0451484e+01   1.4980788e-05
   1.0507077e+01   1.5661488e-05
   1.0562670e+01   1.2018018e-05
   1.0618263e+01   1.0944633e-05
   1.0673856e+01   1.1405830e-05
   1.0729449e+01   1.2506412e-05
   1.0785042e+01   1.1930467e-05
   1.0840635e+01   1.1104580e-05
   1.0896228e+01   1.1329970e-05
   1.0951821e+01   1.1807454e-05
   1.1007414e+01   1.1204575e-05
   1.1063007e+01   1.0596862e-05
   1.1118600e+01   1.1957730e-05
   1.1174193e+01   1.0871024e-05
   1.1229786e+01   1.0220069e-05
   1.1285379e+01   9.2494079e-06
   1.1340972e+01   9.7355821e-06
   1.1396565e+01   1.0636412e-05
   1.1452158e+01   1.0429690e-05
   1.1507751e+01   9.3797417e-06
   1.1563344e+01   1.0763383e-05
   1.1618937e+01   1.1520019e-05
   1.1674530e+01   1.0198797e-05
   1.1730123e+01   9.7155430e-06
   1.1785716e+01   1.1139942e-05
   1.1841309e+01   1.2223944e-05
   1.1896902e+01   1.2427582e-05
   1.1952495e+01   1.1565868e-05
   1.2008088e+01   9.5834960e-06
   1.2063681e+01   9.6112601e-06
   1.2119274e+01   1.1181880e-05
   1.2174867e+01   9.3956869e-06
   1.2230460e+01   9.8806377e-06
   1.2286053e+01   1.0031398e-05
   1.2341646e+01   1.1442264e-05
   1.2397239e+01   1.1385190e-05
   1.2452832e+01   9.5766631e-06
   1.2508424e+01   9.9080422e-06
   1.2564017e+01   1.0279154e-05
   1.2619610e+01   1.0661989e-05
   1.2675203e+01   9.9643266e-06
   1.2730796e+01   1.0466676e-05
   1.2786389e+01   1.1062644e-05
   1.2841982e+01   1.0627718e-05
   1.2897575e+01   1.0128893e-05
   1.2953168e+01   9.9079728e-06
   1.3008761e+01   9.8858805e-06
   1.3064354e+01   1.0737148e-05
   1.3119947e+01   1.1103406e-05
   1.3175540e+01   1.0442295e-05
   1.3231133e+01   1.0054810e-05
   1.3286726e+01   1.0591010e-05
   1.3342319e+01   1.0331340e-05
   1.3397912e+01   1.0534570e-05
   1.3453505e+01   8.4863947e-06
   1.3509098e+01   7.8951773e-06
   1.3564691e+01   9.3178306e-06
   1.3620284e+01   1.0418498e-05
   1.3675877e+01   9.9920074e-06
   1.3731470e+01   9.7753981e-06
   1.3787063e+01   1.0315362e-05
   1.3842656e+01   1.0027737e-05
   1.3898249e+01   8.8001798e-06
   1.3953842e+01   9.5797596e-06
   1.4009435e+01   9.3009259e-06
   1.4065028e+01   9.5143376e-06
   1.4120621e+01   9.9654694e-06
   1.4176214e+01   8.8978166e-06
   1.4231807e+01   8.4269608e-06
   1.4287400e+01   9.2048480e-06
   1.4342993e+01   9.6766407e-06
   1.4398586e+01   9.4004894e-06
   1.4454179e+01   9.2644571e-06
   1.4509772e+01   1.0116697e-05
   1.4565365e+01   8.8617746e-06
   1.4620958e+01   9.3289562e-06
   1.4676551e+01   1.0445273e-05
   1.4732144e+01   1.2120489e-05
   1.4787737e+01   1.0862411e-05
   1.4843330e+01   8.4989012e-06
   1.4898923e+01   9.0784401e-06
   1.4954516e+01   8.8910140e-06
   1.5010109e+01   8.4226140e-06
   1.5065702e+01   9.2250758e-06
   1.5121295e+01   1.5852786e-05
   1.5176888e+01   2.0246011e-05
   1.5232481e+01   1.4642556e-05
   1.5288074e+01   1.1531770e-05
   1.5343667e+01   9.1691853e-06
   1.5399260e+01   8.0662502e-06
   1.5454853e+01   9.5129982e-06
   1.5510446e+01   9.3105365e-06
   1.5566039e+01   1.1106631e-05
   1.5621632e+01   2.0333657e-05
   1.5677225e+01   1.8757424e-05
   1.5732818e+01   1.0433050e-05
   1.5788411e+01   9.8631976e-06
   1.5844004e+01   8.9555016e-06
   1.5899597e+01   9.6225614e-06
   1.5955190e+01   1.0291883e-05
   1.6010783e+01   9.8748661e-06
   1.6066376e+01   7.9113503e-06
   1.6121969e+01   7.3425935e-06
   1.6177562e+01   8.6546736e-06
   1.6233155e+01   8.7405009e-06
   1.6288748e+01   9.1383839e-06
   1.6344341e+01   8.9810768e-06
   1.6399934e+01   8.4846546e-06
